ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment
10970,B180,B004,Fishing (aquatic),B004-3,,cook1956;gifford1926b;goddard1904;kroeber1925a;wallace1978a,,1860,Binford_2001_Table_5.01,
10971,B181,B004,Fishing (aquatic),B004-3,,gray1987,,1870,Binford_2001_Table_5.01,
10972,B182,B004,Fishing (aquatic),B004-3,,cook1956;cookandheizer1965;schenckandgifford1952,,1860,Binford_2001_Table_5.01,
10973,B183,B004,Hunting,B004-1,,gifford1926b,,1860,Binford_2001_Table_5.01,
10974,B184,B004,Fishing (aquatic),B004-3,,cook1956;gifford1926b;loud1918;schalk1978,,1860,Binford_2001_Table_5.01,
10975,B185,B004,Gathering,B004-2,,cookandheizer1965;dixon1905;gifford1926b,,1850,Binford_2001_Table_5.01,
10976,B186,B004,Fishing (aquatic),B004-3,,cook1956;gifford1926b;heizerandmills1952;kroeber1925a;schalk1978,,1850,Binford_2001_Table_5.01,
10977,B187,B004,Hunting,B004-1,,gifford1926b;kniffen1926;kroeber1962,,1860,Binford_2001_Table_5.01,
10978,B188,B004,Gathering,B004-2,,gifford1926b;ray1963,,1860,Binford_2001_Table_5.01,
10979,B189,B004,Fishing (aquatic),B004-3,,gifford1926b;spier1930,,1860,Binford_2001_Table_5.01,
10980,B19,B004,Gathering,B004-2,,ehrenfels1952,,1946,Binford_2001_Table_5.01,
10981,B190,B004,Gathering,B004-2,,aschmann1967;baegert1863;baegert1865,,1760,Binford_2001_Table_5.01,
10982,B191,B004,Gathering,B004-2,,,,1570,Binford_2001_Table_5.01,
10983,B192,B004,Gathering,B004-2,,smith1978a;steward1938,,1860,Binford_2001_Table_5.01,
10984,B193,B004,Fishing (aquatic),B004-3,,bolton1916;schaedel1949;stiles1906,,1800,Binford_2001_Table_5.01,
10985,B194,B004,Gathering,B004-2,,,,1715,Binford_2001_Table_5.01,
10986,B195,B004,Gathering,B004-2,,steward1938,,1850,Binford_2001_Table_5.01,
10987,B196,B004,Gathering,B004-2,,corbusier1886;gifford1932a,,1870,Binford_2001_Table_5.01,
10988,B197,B004,Gathering,B004-2,,steward1936;steward1938,,1860,Binford_2001_Table_5.01,
10989,B198,B004,Gathering,B004-2,,hayden1936;hrdlicka1909;kniffen1935;kroeber1935,,1870,Binford_2001_Table_5.01,
10990,B199,B004,Gathering,B004-2,,steward1938;voegelin1938;zigmond1986,,1860,Binford_2001_Table_5.01,
10991,B2,B004,Gathering,B004-2,,cadelina1982;eder1978;eder1984;eder1987;warren1964,,1968,Binford_2001_Table_5.01,
10992,B20,B004,Gathering,B004-2,,bhanu1982;bhanu1992,,1974,Binford_2001_Table_5.01,
10993,B200,B004,Gathering,B004-2,,steward1936;steward1938,,1860,Binford_2001_Table_5.01,
10994,B201,B004,Gathering,B004-2,,kelly1964;kellyandfowler1986,,1860,Binford_2001_Table_5.01,
10995,B202,B004,Gathering,B004-2,,gifford1926b;liljebladandfowler1986;lowie1909;steward1933;steward1938,,1870,Binford_2001_Table_5.01,
10996,B203,B004,Gathering,B004-2,,steward1938;thomas1983,,1860,Binford_2001_Table_5.01,
10997,B204,B004,Gathering,B004-2,,euler1972;eulerandfowler1966;hrdlicka1909;kelly1964;kellyandfowler1986;knack1975;stoffleandevans1978,,1860,Binford_2001_Table_5.01,
10998,B205,B004,Gathering,B004-2,,davis1965,,1870,Binford_2001_Table_5.01,
10999,B206,B004,Gathering,B004-2,,fowlerandliljeblad1986;steward1938,,1860,Binford_2001_Table_5.01,
11000,B207,B004,Hunting,B004-1,,gouldandplew1996;gouldperscomm1992;murphyandmurphy1960;steward1938,,1860,Binford_2001_Table_5.01,
11001,B208,B004,Gathering,B004-2,,boas1899;fowler1966;fowlerandliljeblad1986,,1860,Binford_2001_Table_5.01,
11002,B209,B004,Gathering,B004-2,,boas1899;callawayetal1986;janetski1983,,1860,Binford_2001_Table_5.01,
11003,B21,B004,Gathering,B004-2,,bird1983;birddavid1987,,1978,Binford_2001_Table_5.01,
11004,B210,B004,Gathering,B004-2,,fowler1992,,1870,Binford_2001_Table_5.01,
11005,B211,B004,Gathering,B004-2,,steward1938,,1860,Binford_2001_Table_5.01,
11006,B212,B004,Hunting,B004-1,,gifford1926b;riddell1960,,1870,Binford_2001_Table_5.01,
11007,B213,B004,Gathering,B004-2,,steward1938,,1870,Binford_2001_Table_5.01,
11008,B214,B004,Gathering,B004-2,,steward1938,,1860,Binford_2001_Table_5.01,
11009,B215,B004,Hunting,B004-1,,steward1938,,1870,Binford_2001_Table_5.01,
11010,B216,B004,Hunting,B004-1,,boas1899;ewers1955;harris1940;lowie1924;steward1938,,1860,Binford_2001_Table_5.01,
11011,B217,B004,Gathering,B004-2,,steward1938,,1860,Binford_2001_Table_5.01,
11012,B218,B004,Gathering,B004-2,,steward1938,,1860,Binford_2001_Table_5.01,
11013,B219,B004,Hunting,B004-1,,cook1955;gayton1948a;gifford1926b;gifford1932b;whiting1964,,1860,Binford_2001_Table_5.01,
11014,B22,B004,Fishing (aquatic),B004-3,,batchelor1927;hitchcock1891;landor1893;watanabe1964a;watanabe1972,,1900,Binford_2001_Table_5.01,
11015,B221,B004,Hunting,B004-1,,steward1938,,1860,Binford_2001_Table_5.01,
11016,B222,B004,Hunting,B004-1,,callawayetal1986;hrdlicka1909;smith1974,,1860,Binford_2001_Table_5.01,
11017,B223,B004,Hunting,B004-1,,lowie1924,,1870,Binford_2001_Table_5.01,
11018,B224,B004,Gathering,B004-2,,steward1938,,1860,Binford_2001_Table_5.01,
11019,B225,B004,Gathering,B004-2,,dazevedo1963;downs1966;gifford1926b;price1962,,1850,Binford_2001_Table_5.01,
11020,B226,B004,Gathering,B004-2,,brink1969;kelly1932,,1870,Binford_2001_Table_5.01,
11021,B227,B004,Hunting,B004-1,,lowie1924;shimkin1947;steward1974a,,1860,Binford_2001_Table_5.01,
11022,B228,B004,Gathering,B004-2,,steward1938,,1860,Binford_2001_Table_5.01,
11023,B229,B004,Hunting,B004-1,,steward1938,,1860,Binford_2001_Table_5.01,
11024,B23,B004,Hunting,B004-1,,qiu1983,,1900,Binford_2001_Table_5.01,
11025,B230,B004,Gathering,B004-2,,boas1899;smith1974;steward1974b;stewart1941,,1860,Binford_2001_Table_5.01,
11026,B231,B004,Gathering,B004-2,,whiting1950,,1870,Binford_2001_Table_5.01,
11027,B232,B004,Hunting,B004-1,,boas1899;steward1938,,1860,Binford_2001_Table_5.01,
11028,B233,B004,Hunting,B004-1,,steward1938,,1860,Binford_2001_Table_5.01,
11029,B234,B004,Hunting,B004-1,,boas1899;steward1974b,,1860,Binford_2001_Table_5.01,
11030,B24,B004,Fishing (aquatic),B004-3,,lee1967;shimkin1939,,1900,Binford_2001_Table_5.01,
11031,B240,B004,Gathering,B004-2,,basehartperscomm1972;hrdlicka1909;swanton1952,,1880,Binford_2001_Table_5.01,
11032,B241,B004,Hunting,B004-1,,goldstein1934;wallaceandhoebel1952,,1870,Binford_2001_Table_5.01,
11033,B242,B004,Gathering,B004-2,,basehart1972;morice1906b;opler1937,,1880,Binford_2001_Table_5.01,
11034,B243,B004,Hunting,B004-1,,bamforth1988;mishkin1940;newcomb1961,,1870,Binford_2001_Table_5.01,
11035,B244,B004,Hunting,B004-1,,bamforth1988;ewers1955,,1860,Binford_2001_Table_5.01,
11036,B245,B004,Hunting,B004-1,,bushnell1922;gussow1954;moore1987;moore1991,,1860,Binford_2001_Table_5.01,
11037,B246,B004,Hunting,B004-1,,eggan1937;flannery1953;gussowetal1974;hilger1952,,1860,Binford_2001_Table_5.01,
11038,B248,B004,Hunting,B004-1,,bamforth1988;denig1953;denig1961;ewers1955;kelly1995,,1870,Binford_2001_Table_5.01,
11039,B249,B004,Hunting,B004-1,,bushnell1922;culbertson1952;sullivan1920,,1870,Binford_2001_Table_5.01,
11040,B25,B004,Fishing (aquatic),B004-3,,shternberg1933,,1920,Binford_2001_Table_5.01,
11041,B250,B004,Hunting,B004-1,,chamberlain1892;turneyhigh1941,,1880,Binford_2001_Table_5.01,
11042,B252,B004,Hunting,B004-1,,boas1899;murphyandmurphy1960;steward1938,,1860,Binford_2001_Table_5.01,
11043,B253,B004,Hunting,B004-1,,bamforth1988;culbertson1952;ewers1955;flannery1953;swanton1952,,1870,Binford_2001_Table_5.01,
11044,B254,B004,Hunting,B004-1,,skinner1914,,1850,Binford_2001_Table_5.01,
11045,B255,B004,Hunting,B004-1,,dejong1912;ewers1955;kehoe1993,,1850,Binford_2001_Table_5.01,
11046,B256,B004,Hunting,B004-1,,bushnell1922;ewers1955;ewers1971;lewis1973;robbins1971;wissler1911,,1850,Binford_2001_Table_5.01,
11047,B257,B004,Hunting,B004-1,,bushnell1922;culbertson1952;denig1930;lowrieandclarke1832,,1870,Binford_2001_Table_5.01,
11048,B258,B004,Hunting,B004-1,,bamforth1988;bushnell1922;mandelbaum1940,,1850,Binford_2001_Table_5.01,
11049,B259,B004,Hunting,B004-1,,bamforth1988;ewers1955,,1850,Binford_2001_Table_5.01,
11050,B26,B004,Hunting,B004-1,,jochelson191926;jochelson191926;kreynovich1979,,1900,Binford_2001_Table_5.01,
11051,B260,B004,Hunting,B004-1,,bamforth1988;jenness1938,,1880,Binford_2001_Table_5.01,
11052,B268,B004,Fishing (aquatic),B004-3,,drucker1990;kelly1995;suttles1990,,1880,Binford_2001_Table_5.01,
11053,B269,B004,Fishing (aquatic),B004-3,,boas1891a;drucker1939,,1860,Binford_2001_Table_5.01,
11054,B27,B004,Hunting,B004-1,,chard1963;popov1966,,1933,Binford_2001_Table_5.01,
11055,B270,B004,Fishing (aquatic),B004-3,,smith1940a;smith1940b,,1870,Binford_2001_Table_5.01,
11056,B271,B004,Fishing (aquatic),B004-3,,eells1884;eells1887a;elmendorf1960;kelly1995,,1850,Binford_2001_Table_5.01,
11057,B272,B004,Fishing (aquatic),B004-3,,schalk1978;taylor1974a;taylor1974b,,1880,Binford_2001_Table_5.01,
11058,B273,B004,Fishing (aquatic),B004-3,,cybulski1990b;drucker1951;koppert1930a;schalk1978,,1880,Binford_2001_Table_5.01,
11059,B274,B004,Fishing (aquatic),B004-3,,ray1937;ray1938;silverstein1990,,1850,Binford_2001_Table_5.01,
11060,B275,B004,Fishing (aquatic),B004-3,,boyd1990;zenk1990,,1860,Binford_2001_Table_5.01,
11061,B276,B004,Fishing (aquatic),B004-3,,boasandfarrand1899;hayden1997;teit1906b,,1860,Binford_2001_Table_5.01,
11062,B277,B004,Fishing (aquatic),B004-3,,stern1934,,1880,Binford_2001_Table_5.01,
11063,B278,B004,Fishing (aquatic),B004-3,,olson1936a;schalk1978,,1860,Binford_2001_Table_5.01,
11064,B279,B004,Fishing (aquatic),B004-3,,cybulski1990b;duff1952;schalk1978,,1880,Binford_2001_Table_5.01,
11065,B28,B004,Fishing (aquatic),B004-3,,bogoras1904;haydenetal1996;krupnik1983a;moore1923;szathmary1984,,1860,Binford_2001_Table_5.01,
11066,B280,B004,Fishing (aquatic),B004-3,,hilltout1904;suttles1990;wilson1866,,1880,Binford_2001_Table_5.01,
11067,B281,B004,Fishing (aquatic),B004-3,,seaburgandmiller1990;taylor1974a,,,Binford_2001_Table_5.01,
11068,B282,B004,Fishing (aquatic),B004-3,,kennedyandbouchard1990,,1860,Binford_2001_Table_5.01,
11069,B283,B004,Fishing (aquatic),B004-3,,cybulski1990b;hilton1990,,1880,Binford_2001_Table_5.01,
11070,B284,B004,Fishing (aquatic),B004-3,,pettitt1950,,1880,Binford_2001_Table_5.01,
11071,B285,B004,Fishing (aquatic),B004-3,,boyd1990;eells1884;schalk1978;suttles1990,,1860,Binford_2001_Table_5.01,
11072,B286,B004,Fishing (aquatic),B004-3,,gunther1962;schalk1978;swan1870,,1860,Binford_2001_Table_5.01,
11073,B287,B004,Fishing (aquatic),B004-3,,olson1940;schalk1978,,1880,Binford_2001_Table_5.01,
11074,B288,B004,Fishing (aquatic),B004-3,,boasandfarrand1899;cybulski1990b;kane1859;schalk1978,,1890,Binford_2001_Table_5.01,
11075,B289,B004,Fishing (aquatic),B004-3,,boasandfarrand1899;halpinandseguin1990;kane1859;schalk1978,,1880,Binford_2001_Table_5.01,
11076,B290,B004,Fishing (aquatic),B004-3,,cybulski1990b;kane1859;schalk1978,,1890,Binford_2001_Table_5.01,
11077,B291,B004,Fishing (aquatic),B004-3,,boasandfarrand1899;cybulski1990b;mcilwraith1948;schalk1978,,1880,Binford_2001_Table_5.01,
11078,B292,B004,Fishing (aquatic),B004-3,,kane1859;mitchellanddonald1988;schalk1978,,1880,Binford_2001_Table_5.01,
11079,B293,B004,Fishing (aquatic),B004-3,,adams1973;boasandfarrand1899;cybulski1990b;halpinandseguin1990;kane1859,,1880,Binford_2001_Table_5.01,
11080,B294,B004,Fishing (aquatic),B004-3,,holmberg1985;knechtandjordan1985,,1840,Binford_2001_Table_5.01,
11081,B295,B004,Fishing (aquatic),B004-3,,birketsmithanddelaguna1938;delaguna1990,,1890,Binford_2001_Table_5.01,
11082,B296,B004,Fishing (aquatic),B004-3,,hrdlicka1930;michael1967;nelson1899;oswalt1966;oswaltandvanstone1967;oswaltperscomm1966;porter1893,,1850,Binford_2001_Table_5.01,
11083,B297,B004,Fishing (aquatic),B004-3,,birketsmith1953;delaguna1956;michael1967,,1930,Binford_2001_Table_5.01,
11084,B298,B004,Fishing (aquatic),B004-3,,lantis1970a;lantis1984;mickey1955;mitchellanddonald1988;newman1960,,1830,Binford_2001_Table_5.01,
11085,B299,B004,Fishing (aquatic),B004-3,,hrdlicka1930;lantis1946;lantis1960,,1930,Binford_2001_Table_5.01,
11086,B3,B004,Gathering,B004-2,,hagen1908;persoon1989;volz1909,,1900,Binford_2001_Table_5.01,
11087,B315,B004,Fishing (aquatic),B004-3,,murdock1980,,1850,Binford_2001_Table_5.01,
11088,B316,B004,Fishing (aquatic),B004-3,,,,1860,Binford_2001_Table_5.01,
11089,B317,B004,Fishing (aquatic),B004-3,,teit1928,,1870,Binford_2001_Table_5.01,
11090,B318,B004,Fishing (aquatic),B004-3,,,,1880,Binford_2001_Table_5.01,
11091,B319,B004,Fishing (aquatic),B004-3,,spierandsapir1930,,1860,Binford_2001_Table_5.01,
11092,B320,B004,Hunting,B004-1,,teit1930,,1860,Binford_2001_Table_5.01,
11093,B321,B004,Fishing (aquatic),B004-3,,clineetal1938,,1880,Binford_2001_Table_5.01,
11094,B322,B004,Fishing (aquatic),B004-3,,grabert1974;teit1930,,1860,Binford_2001_Table_5.01,
11095,B323,B004,Fishing (aquatic),B004-3,,kelly1995;ray1932;teit1930,,1870,Binford_2001_Table_5.01,
11096,B324,B004,Fishing (aquatic),B004-3,,spinden1908,,1850,Binford_2001_Table_5.01,
11097,B325,B004,Fishing (aquatic),B004-3,,boasandfarrand1899;haydenetal1996;teit1900,,1860,Binford_2001_Table_5.01,
11098,B326,B004,Fishing (aquatic),B004-3,,teit1930,,1870,Binford_2001_Table_5.01,
11099,B327,B004,Fishing (aquatic),B004-3,,jenness1935;quimby1962,,1870,Binford_2001_Table_5.01,
